WELL_ID,TREND,Presence,p-val,z
31S29E03A002M,|('no trend', False,0.734095182, 0.3396831102433787)|
29S28E19N002M,|('no trend', False,0.117850895, -1.563858105428061)|
28S26E29J001M,|('no trend', False,0.308179547, -1.0190493307301363)|
W0601502600,|('no trend', False,0.756997211, 0.309426373877638)|
W0601502280,|('no trend', False,1, 0.0)|
W0601503536,|('no trend', False,1, 0.0)|
W0601500293,|('no trend', False,0.296269871, 1.044465935734187)|
W0601502311,|('no trend', False,1, 0)|
W0601502141,|('no trend', False,1, 0)|
W0601500524,|('no trend', False,1, 0.0)|
W0601502593,|('no trend', False,1, 0)|
W0601510801,|('no trend', False,0.901418456, 0.12386968496907205)|
W0601500376,|('no trend', False,0.707114231, -0.3757345746510897)|
W0601502561,|('no trend', False,0.089429359, 1.6984155512168937)|
25S25E11J001M,|('no trend', False,0.296269871, -1.044465935734187)|
30S27E04R002M,|('no trend', False,0.259656356, 1.1272037239532693)|
31S30E20H003M,|('no trend', False,1, 0.0)|
26S25E08F001M,|('no trend', False,0.462432726, 0.7348469228349533)|
26S22E27Q001M,|('no trend', False,0.734095182, -0.3396831102433787)|
27S25E27J001M,|('no trend', False,0.296269871, 1.044465935734187)|
27S25E03J004M,|('no trend', False,0.259656356, 1.1272037239532693)|
30S27E03B001M,|('no trend', False,1, 0.0)|
30S27E04N001M,|('no trend', False,1, 0.0)|
30S29E27J001M,|('no trend', False,1, 0.0)|
W0601502619,|('no trend', False,0.053509311, 1.9307877088045147)|
W0601503669,|('no trend', False,1, 0.0)|
29S28E29L001M,|('no trend', False,0.929012705, 0.0890870806374748)|
30S27E15P001M,|('no trend', False,0.707114231, 0.3757345746510897)|
31S29E01A001M,|('no trend', False,1, 0)|
11N21W05M001S,|('no trend', False,0.220671362, -1.224744871391589)|
11N20W09P001S,|('no trend', False,0.296269871, -1.044465935734187)|
26S24E26R001M,|('no trend', False,0.308179547, 1.0190493307301363)|
26S24E34H001M,|('no trend', False,0.296269871, 1.044465935734187)|
26S25E19J001M,|('no trend', False,0.296269871, -1.044465935734187)|
29S28E21G001M,|('increasing', True,0.020261508, 2.3214696976024105)|
30S29E32B001M,|('increasing', True,0.035447893, 2.1032045520479223)|
26S25E28Q001M,|('no trend', False,1, 0.0)|
26S25E19P001M,|('no trend', False,0.806495941, 0.2449489742783178)|
31S30E20T082M,|('no trend', False,1, 0)|
27S24E05R001M,|('no trend', False,1, 0.0)|
27S24E26F001M,|('no trend', False,1, 0.0)|
28S24E02P001M,|('no trend', False,0.579639271, 0.5539117094069973)|
27S26E32G001M,|('no trend', False,1, 0.0)|
32S27E24N001M,|('no trend', False,0.462432726, -0.7348469228349533)|
27S26E27R002M,|('no trend', False,1, 0.0)|
11N20W10H001S,|('no trend', False,1, 0.0)|
30S28E05E001M,|('no trend', False,0.586919569, 0.543305367994433)|
30S26E22P002M,|('no trend', False,1, 0)|
30S28E06M001M,|('no trend', False,1, 0.0)|
32S26E14H001M,|('no trend', False,1, 0.0)|
29S28E20G002M,|('no trend', False,0.063486531, 1.8557687223952255)|
31S30E29D001M,|('no trend', False,1, 0.0)|
31S30E29F002M,|('no trend', False,1, 0.0)|
29S27E35E001M,|('no trend', False,0.175308081, -1.355343691370986)|
29S28E30K002M,|('no trend', False,0.229556214, 1.2015028183722212)|
32S27E32L001M,|('no trend', False,1, 0.0)|
31S30E20C002M,|('no trend', False,1, 0.0)|
11N20W16H080S,|('no trend', False,1, 0)|
12N19W33E001S,|('no trend', False,1, 0.0)|
W0601500090,|('no trend', False,1, 0.0)|
W0601502622,|('no trend', False,0.80856952, 0.24227185592617445)|
29S27E25G002M,|('no trend', False,0.100613746, 1.641885450180146)|
30S27E01K001M,|('no trend', False,0.37109337, -0.8944271909999159)|
W0601500152,|('increasing', True,0.035447893, 2.1032045520479223)|
W0601500561,|('no trend', False,0.151751061, -1.4333737337436874)|
W0601510042,|('increasing', True,8.58E-06, 4.450292479012066)|
W0601503250,|('no trend', False,1, 0)|
W0601500483,|('no trend', False,0.426325543, -0.795495128834866)|
W0601503623,|('no trend', False,1, 0)|
W0601500390,|('no trend', False,1, 0.0)|
W0601503526,|('no trend', False,0.308179547, 1.0190493307301363)|
W0601500383,|('no trend', False,1, 0)|
W0601502653,|('no trend', False,0.272728819, 1.0968000259982231)|
W0601503205,|('no trend', False,1, 0)|
W0601503230,|('no trend', False,1, 0)|
W0601502688,|('no trend', False,1, 0.0)|
W0601503219,|('no trend', False,1, 0)|
W0601500461,|('no trend', False,1, 0.0)|
W0601503389,|('no trend', False,1, 0.0)|
W0601503361,|('no trend', False,1, 0)|
W0601500575,|('increasing', True,0.004878564, 2.8149445897705094)|
W0601502549,|('no trend', False,0.060289174, 1.8786728732554487)|
W0601502323,|('no trend', False,1, 0)|
W0601502154,|('no trend', False,0.296269871, 1.044465935734187)|
W0601500557,|('no trend', False,0.097091068, -1.6591227115686804)|
W0601503652,|('no trend', False,1, 0.0)|
W0601500535,|('no trend', False,0.406786833, -0.8295613557843402)|
W0601503360,|('no trend', False,1, 0.0)|
W0601502004,|('no trend', False,0.643428844, -0.4629100498862757)|
W0601500404,|('decreasing', True,0.035498131, -2.102629932151387)|
W0601502690,|('no trend', False,0.652726994, 0.44997704257325755)|
W0601502826,|('no trend', False,0.296269871, -1.044465935734187)|
W0601504005,|('no trend', False,1, 0)|
W0601510011,|('increasing', True,0.000348049, 3.5766324431391987)|
W0601502659,|('no trend', False,0.62333641, -0.49112730544203487)|
W0601504007,|('no trend', False,1, 0)|
W0601502750,|('no trend', False,0.102312732, 1.6337434459115125)|
W0601500485,|('no trend', False,0.54611324, 0.6035945457934283)|
W0601500333,|('no trend', False,0.31587448, -1.0029717747535973)|
W0601500459,|('increasing', True,0.009149148, 2.606430175713435)|
W0601503374,|('no trend', False,0.096565894, -1.661735128220992)|
